"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000028645",2315.56008143179,2.24780625166011,0.0603019434995107,37.2758508468032,4.04096956973739e-304,6.81226650066329e-300
"ENSMUSG00000005125",1970.36319346871,2.61963084390216,0.088596066463676,29.5682522764845,3.82643434007636e-192,3.22530150525036e-188
"ENSMUSG00000021831",8446.7913084105,1.93912078578203,0.0702728359377829,27.594172910552,1.3071069043257e-167,7.34506939770757e-164
"ENSMUSG00000006494",1986.60599314216,1.6946234383397,0.0671018714061955,25.2544884788897,1.01102208303258e-140,4.26095256894082e-137
"ENSMUSG00000000628",5910.53281401216,1.29005910408989,0.0518278881872528,24.8912149271632,9.26231141926717e-137,3.12288091812012e-133
"ENSMUSG00000028527",524.503733477496,2.46586380606867,0.0992623838144754,24.8418757570586,3.16527848689897e-136,8.89337745535715e-133
"ENSMUSG00000043192",5063.97746979394,1.37971984721665,0.0565907354383564,24.3806664912415,2.74269437627951e-131,6.60519168504571e-128
"ENSMUSG00000022032",11572.8992735575,-1.27317570783703,0.0528171127405811,-24.1053636174778,2.19608227236907e-128,4.11350610528865e-125
"ENSMUSG00000057963",1596.65980183317,1.40057245291094,0.0580985466198417,24.1068414684338,2.11909405333762e-128,4.11350610528865e-125
"ENSMUSG00000036427",9815.92679417552,1.37759238769735,0.0597082446695257,23.0720630847896,8.83490014910321e-118,1.48938746713582e-114
"ENSMUSG00000024526",865.384384797824,2.44444530935107,0.106769717153626,22.8945563828166,5.26418051065712e-116,8.06759591351435e-113
"ENSMUSG00000069008",5942.95431813346,1.31666257647259,0.059266731913748,22.2158795323616,2.41212659692256e-109,3.38863584757671e-106
"ENSMUSG00000020277",12251.6197996585,1.13244500907028,0.0516599431346967,21.9211431595574,1.63304748396343e-106,2.11768572958889e-103
"ENSMUSG00000022707",1782.99231718951,1.30200374434463,0.059503144607348,21.8812594348812,3.91871163005853e-106,4.71868861853762e-103
"ENSMUSG00000021196",1656.47243014767,1.55100757098355,0.0716527376614695,21.6461732182717,6.60415631169575e-104,7.42219114017113e-101
"ENSMUSG00000051920",5225.45780999841,-1.58613482315131,0.0749454355259016,-21.1638615750406,2.0566925114896e-99,2.16698264741823e-96
"ENSMUSG00000046718",3416.94919141609,5.54429647343972,0.263988084469316,21.0020709252282,6.27881155641444e-98,5.88045584544637e-95
"ENSMUSG00000066632",13163.0215998184,1.32681284384005,0.063168455538619,21.0043578321918,5.98370491561431e-98,5.88045584544637e-95
"ENSMUSG00000019916",3333.40059232783,0.984941521421124,0.0475432240264249,20.7167591510766,2.44605871831553e-95,2.17029778280859e-92
"ENSMUSG00000072594",1902.59758947546,1.59376401442099,0.0794928787144165,20.0491420136726,2.05356097518938e-89,1.73094654598713e-86
"ENSMUSG00000031987",1795.36649854322,1.19245213407695,0.0600833492916256,19.8466321890474,1.17839095713335e-87,9.45967369302568e-85
"ENSMUSG00000025025",1158.49216087194,1.1481238012539,0.0582020208052418,19.7265281405916,1.2764114372345e-86,9.78079273131784e-84
"ENSMUSG00000078566",2425.44278632072,1.47115362710869,0.0750029977699266,19.6145976941013,1.16051468414222e-85,8.5060680631607e-83
"ENSMUSG00000030103",593.194987500213,1.75816260442933,0.0900335533998416,19.5278597593641,6.36516804308646e-85,4.47100011959798e-82
"ENSMUSG00000038393",4980.72547001115,0.888596919908819,0.0463666220098849,19.1645817916039,7.31421965469438e-82,4.93212459755352e-79
"ENSMUSG00000038007",2073.98499186706,1.43090636088631,0.074984543226149,19.0826842349466,3.51722915558623e-81,2.28051727326433e-78
"ENSMUSG00000002944",29484.6309798183,0.730071014176099,0.0386413293628708,18.8935273763537,1.28935384602689e-79,8.05034338382273e-77
"ENSMUSG00000026043",32099.3933228625,-0.896956191204727,0.0475259057873557,-18.872995187466,1.90205939863928e-79,1.14517561936646e-76
"ENSMUSG00000020836",319.26092869108,2.38510421095769,0.12682873991101,18.8057077018286,6.78111527682058e-79,3.94193245988418e-76
"ENSMUSG00000029838",39802.621891329,-1.47659740807669,0.0804619456441189,-18.3515001564546,3.21122572198119e-75,1.80449477403863e-72
