"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000046718",3416.94919141609,6.4555078687261,0.264355203805445,24.419825204111,1.05322729235846e-131,1.61691453922871e-127
"ENSMUSG00000020836",319.26092869108,2.20857678501281,0.103482580587256,21.3424981526291,4.57819850261866e-101,3.51422517061008e-97
"ENSMUSG00000029838",39802.621891329,-1.39301859178541,0.0803255262343971,-17.3421657733116,2.26056400740083e-67,1.15680595472058e-63
"ENSMUSG00000021831",8446.7913084105,1.20406785478323,0.0698891301321371,17.2282564185123,1.62990725305895e-66,6.25558403724023e-63
"ENSMUSG00000038393",4980.72547001115,0.761333974880299,0.0455808561300297,16.7029327555503,1.2477799824335e-62,3.8311836580638e-59
"ENSMUSG00000026043",32099.3933228625,-0.774658107645638,0.047671820384803,-16.2498117628541,2.24051282065883e-59,5.73272547045907e-56
"ENSMUSG00000021196",1656.47243014767,1.16238709726465,0.0732644285150306,15.865640677538,1.09593404204493e-56,2.40353991621053e-53
"ENSMUSG00000022032",11572.8992735575,-0.772828322538819,0.0513734823325486,-15.0433314513542,3.81840165178376e-51,7.32751276977304e-48
"ENSMUSG00000041168",6892.82516093205,0.636855261911306,0.0425987957920602,14.9500766411338,1.55570042892536e-50,2.65367922054024e-47
"ENSMUSG00000005125",1970.36319346871,1.32887360220847,0.0890260809864008,14.9267898517454,2.20634922003955e-50,3.38718732260471e-47
"ENSMUSG00000026185",484.692055594155,-2.17087509042272,0.147541516194143,-14.7136558334277,5.26826575240888e-49,7.35258325736193e-46
"ENSMUSG00000000957",10659.8300235408,-0.770697026895071,0.0541766021545412,-14.2256434742183,6.3517395507867e-46,8.12599213197311e-43
"ENSMUSG00000036427",9815.92679417552,0.837929031637369,0.0597871683879217,14.0151984820651,1.25845954529843e-44,1.48614391841704e-41
"ENSMUSG00000043192",5063.97746979394,0.793574026557564,0.0566914311698974,13.9981300556572,1.60026074884501e-44,1.75480021544776e-41
"ENSMUSG00000038007",2073.98499186706,0.989145530106174,0.0728385893636617,13.5799654928469,5.26512378270592e-42,5.38867868747342e-39
"ENSMUSG00000028527",524.503733477496,1.38124878898654,0.102193695474506,13.5159882669192,1.25854175411291e-41,1.20757081307134e-38
"ENSMUSG00000022816",32279.2102968523,-0.692906240761638,0.0514715456387938,-13.4619279868565,2.61989810564607e-41,2.36592210105167e-38
"ENSMUSG00000047963",525.864382667715,1.22491724019779,0.0923502801060462,13.2638172704101,3.75295201074778e-40,3.20085107049999e-37
"ENSMUSG00000025037",7240.02505971308,0.713847266936749,0.0543025291391057,13.1457462157628,1.8002076198499e-39,1.45456775683872e-36
"ENSMUSG00000028645",2315.56008143179,0.821954477186188,0.0625680429299078,13.1369695885644,2.02161994929642e-39,1.55179547307994e-36
"ENSMUSG00000027313",724.805192932922,1.08199488940981,0.0831112804486623,13.0186285612355,9.58774317991377e-39,7.00909682371601e-36
"ENSMUSG00000006494",1986.60599314216,0.859600729947171,0.0665694284516867,12.9128452795871,3.80959567787503e-38,2.65840512939716e-35
"ENSMUSG00000074743",1891.80914418517,-0.778710202224553,0.0607872919228877,-12.8104111499554,1.43372867661201e-37,9.56982723623806e-35
"ENSMUSG00000051920",5225.45780999841,-0.975802117397109,0.0762195683011141,-12.8025143561833,1.58727361642795e-37,1.01532602330841e-34
"ENSMUSG00000026389",4544.94717049936,-0.817909742395786,0.0641113557779074,-12.7576422690103,2.82626482958534e-37,1.73555270655177e-34
