"","KO-1","KO-2","KO-3","KO-NE-1","KO-NE-2","KO-NE-3","OE-1","OE-2","OE-3","OE-NE-1","OE-NE-2","OE-NE-3","WT-1","WT-2","WT-3","WT-NE-1","WT-NE-2","WT-NE-3"
"ENSMUSG00000104478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102135",146,89,116,108,116,147,68,82,97,87,127,116,77,98,76,90,70,85
"ENSMUSG00000103282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100764",4,2,5,7,5,7,2,1,2,3,9,5,7,6,7,1,2,7
"ENSMUSG00000102534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100635",2,4,0,3,1,3,2,7,0,3,3,0,0,0,0,4,1,1
"ENSMUSG00000102213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100480",4,4,5,12,4,7,5,3,7,5,6,4,0,6,1,9,3,3
"ENSMUSG00000089037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,1,1,0,1,0,0,0,1,3,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100025",6,6,13,16,13,10,2,5,4,11,7,6,1,7,6,7,6,5
"ENSMUSG00000051285",2170,2303,2531,1930,1900,1860,2738,2350,2510,2179,2018,1955,2556,2815,1950,1685,1539,1497
"ENSMUSG00000098201",0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0
"ENSMUSG00000103509",88,245,253,233,189,187,202,229,192,156,127,137,131,249,43,151,134,155
"ENSMUSG00000048538",167,157,190,209,183,203,155,175,192,183,190,156,136,163,134,160,154,170
"ENSMUSG00000103709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797",12,7,6,7,9,7,6,1,1,5,6,5,6,3,7,2,5,2
"ENSMUSG00000103498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
