"ensembl_gene_id","entrez_id"
"ENSMUSG00000000028","12544"
"ENSMUSG00000000056","67608"
"ENSMUSG00000000058","12390"
"ENSMUSG00000000078","23849"
"ENSMUSG00000000168","235339"
"ENSMUSG00000000171","66925"
"ENSMUSG00000000247","16870"
"ENSMUSG00000000278","74617"
"ENSMUSG00000000340","13171"
"ENSMUSG00000000399","66108"
"ENSMUSG00000000532","11479"
"ENSMUSG00000000555","16402"
"ENSMUSG00000000567","20682"
"ENSMUSG00000000594","14667"
"ENSMUSG00000000628","15277"
"ENSMUSG00000000686","67477"
"ENSMUSG00000000690","15414"
"ENSMUSG00000000693","16950"
"ENSMUSG00000000711","19344"
"ENSMUSG00000000753","20317"
"ENSMUSG00000000776","67065"
"ENSMUSG00000000876","59038"
"ENSMUSG00000000938","15395"
"ENSMUSG00000000957","17387"
"ENSMUSG00000001020","20198"
"ENSMUSG00000001025","20200"
"ENSMUSG00000001034","23939"
"ENSMUSG00000001098","330171"
"ENSMUSG00000001123","16859"
"ENSMUSG00000001127","11836"
"ENSMUSG00000001211","28169"
"ENSMUSG00000001240","54409"
"ENSMUSG00000001248","52857"
"ENSMUSG00000001300","13642"
"ENSMUSG00000001333","68828"
"ENSMUSG00000001348","11433"
"ENSMUSG00000001366","71538"
"ENSMUSG00000001418","56700"
"ENSMUSG00000001435","12822"
"ENSMUSG00000001436","20509"
"ENSMUSG00000001467","13121"
"ENSMUSG00000001473","67951"
"ENSMUSG00000001482","23854"
"ENSMUSG00000001521","22158"
"ENSMUSG00000001525","22154"
"ENSMUSG00000001542","192657"
"ENSMUSG00000001552","16480"
"ENSMUSG00000001555","14230"
"ENSMUSG00000001576","67458"
"ENSMUSG00000001642","11677"
"ENSMUSG00000001663","14871"
"ENSMUSG00000001665","103140"
"ENSMUSG00000001751","27419"
"ENSMUSG00000001755","71743"
"ENSMUSG00000001761","319757"
"ENSMUSG00000001767","66877"
"ENSMUSG00000001768","408057"
"ENSMUSG00000001802","435965"
"ENSMUSG00000001829","20480"
"ENSMUSG00000001833","235072"
"ENSMUSG00000001870","268977"
"ENSMUSG00000001891","216558"
"ENSMUSG00000001911","18032"
"ENSMUSG00000001918","20514"
"ENSMUSG00000001942","22619"
"ENSMUSG00000001983","70207"
"ENSMUSG00000001986","53623"
"ENSMUSG00000001995","244668"
"ENSMUSG00000002010","15929"
"ENSMUSG00000002015","27061"
"ENSMUSG00000002058","22248"
"ENSMUSG00000002108","22259"
"ENSMUSG00000002233","11853"
"ENSMUSG00000002257","23853"
"ENSMUSG00000002265","18616"
"ENSMUSG00000002289","57875"
"ENSMUSG00000002307","13163"
"ENSMUSG00000002319","75751"
"ENSMUSG00000002320","74140"
"ENSMUSG00000002325","16391"
"ENSMUSG00000002341","13004"
"ENSMUSG00000002365","66616"
"ENSMUSG00000002455","68879"
"ENSMUSG00000002458","56470"
"ENSMUSG00000002475","106861"
"ENSMUSG00000002486","77832"
"ENSMUSG00000002489","21844"
"ENSMUSG00000002550","22245"
"ENSMUSG00000002603","21803"
"ENSMUSG00000002763","224824"
"ENSMUSG00000002804","66174"
"ENSMUSG00000002808","105298"
"ENSMUSG00000002820","235040"
"ENSMUSG00000002885","26364"
"ENSMUSG00000002897","16172"
"ENSMUSG00000002908","84036"
"ENSMUSG00000002944","12491"
"ENSMUSG00000002957","11772"
"ENSMUSG00000002997","19088"
"ENSMUSG00000003031","12576"
"ENSMUSG00000003033","11767"
"ENSMUSG00000003062","76205"
"ENSMUSG00000003123","16890"
"ENSMUSG00000003131","18475"
"ENSMUSG00000003166","13356"
"ENSMUSG00000003199","68047"
"ENSMUSG00000003273","12348"
"ENSMUSG00000003348","208228"
"ENSMUSG00000003352","12297"
"ENSMUSG00000003363","18807"
"ENSMUSG00000003378","14809"
"ENSMUSG00000003382","27049"
"ENSMUSG00000003458","59287"
"ENSMUSG00000003464","19298"
"ENSMUSG00000003500","23917"
"ENSMUSG00000003518","72349"
"ENSMUSG00000003526","19125"
"ENSMUSG00000003528","13358"
"ENSMUSG00000003534","12305"
"ENSMUSG00000003573","26558"
"ENSMUSG00000003617","12870"
"ENSMUSG00000003623","74114"
"ENSMUSG00000003721","72999"
"ENSMUSG00000003812","100503676"
"ENSMUSG00000003849","18104"
"ENSMUSG00000003865","14936"
"ENSMUSG00000003873","12028"
"ENSMUSG00000003948","67468"
"ENSMUSG00000003955","70186"
"ENSMUSG00000004056","11652"
"ENSMUSG00000004069","83945"
