"","Status","KO-1_aligned.bam","KO-2_aligned.bam","KO-3_aligned.bam","KO-NE-1_aligned.bam","KO-NE-2_aligned.bam","KO-NE-3_aligned.bam","OE-1_aligned.bam","OE-2_aligned.bam","OE-3_aligned.bam","OE-NE-1_aligned.bam","OE-NE-2_aligned.bam","OE-NE-3_aligned.bam","WT-1_aligned.bam","WT-2_aligned.bam","WT-3_aligned.bam","WT-NE-1_aligned.bam","WT-NE-2_aligned.bam","WT-NE-3_aligned.bam"
"1","Assigned",22757713,20988045,24764053,25616178,25271107,25594770,25338241,23542135,23936818,25462314,27914745,24564661,22268514,26264756,20161998,22415079,19605910,19709584
"2","Unassigned_Unmapped",238950,210056,246418,280523,254729,294783,299407,275300,273591,248631,496692,371696,219293,335483,241258,260888,191245,192661
"3","Unassigned_Read_Type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Unassigned_Singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Unassigned_MappingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Unassigned_Chimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Unassigned_FragmentLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Unassigned_Duplicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Unassigned_MultiMapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Unassigned_Secondary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Unassigned_NonSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Unassigned_NoFeatures",1635125,1877169,2087238,2037151,2072328,2061263,2113073,2157782,1973029,1886475,1886647,1824128,1747499,2251571,1258665,1660840,1539184,1553061
"13","Unassigned_Overlapping_Length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Unassigned_Ambiguity",1147485,1008504,1191774,1260058,1246292,1266249,1231538,1137985,1148364,1234529,1401239,1224398,1079649,1257679,1022207,1102062,963826,959898
